Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,language,primary_genre,mbti_personality
spotify:track:39tEWctWn3a4fmocz97cXg,說好不哭,最偉大的作品,周杰倫;五月天 阿信,2022-07-14,220693,55,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂,古風歌曲,粵語流行樂,華語節奏藍調",JVR MUSIC INTERNATIONAL LTD.,0.54,0.36,10,-11.243,1,0.031,0.531,0,0.0795,0.383,75.931,4,Chinese,Mandopop,INFP
spotify:track:1bkvGbgK4HU8B7Ue4k7O7I,光年之外 (電影 《Passengers》 中國區主題曲),光年之外 (電影 《Passengers》 中國區主題曲),鄧紫棋,2016-12-30,235505,65,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,粵語流行樂,台灣流行樂,古風歌曲",Hummingbird Music Ltd.,0.539,0.668,1,-6.825,0,0.0825,0.4,0,0.0864,0.238,175.867,4,Chinese,Mandopop,ISTP
spotify:track:13AruKdh8wJhWx6i5dV8X1,後來的我們,自傳,五月天,2016-07-21,346282,64,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語搖滾樂",Bin Music International Limited,0.486,0.637,0,-2.666,1,0.028,0.0116,0,0.0834,0.217,77.972,4,Chinese,Mandopop,ISTJ
spotify:track:1MGgqiQkHHiI9DarZulc12,不為誰而作的歌,和自己對話,林俊傑,2015-12-25,265989,62,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂",JFJ PRODUCTIONS CORP. LIMITED,0.354,0.621,2,-6.794,1,0.0339,0.549,0,0.111,0.255,144.095,4,Chinese,Mandopop,ISTP
spotify:track:5cU1O9P0EDA0rPkPDykhIm,怎麼了,終於了解自由 (Deluxe),周興哲,2019-12-24,321040,65,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂,華語節奏藍調",Sony Music Entertainment,0.502,0.565,9,-7.779,1,0.0358,0.696,0.0000555,0.156,0.253,139.926,4,Chinese,Mandopop,ISTP
spotify:track:2uHMTG5xr9Xk7MrXIWrVUH,玫瑰少年,Ugly Beauty,JOLIN蔡依林,2018-12-25,191718,54,false,,2023-09-21T15:50:00Z,"華語流行,華語流行樂,台灣流行樂",Eternal Music Production Company Ltd,0.648,0.716,10,-6.657,0,0.0401,0.0577,0.0000216,0.09,0.287,98.014,4,Chinese,Mandopop,ESFJ
spotify:track:3LlQoKvVnkVvq3KC8anUn8,連名帶姓,偷故事的人,張惠妹,2017-12-12,333546,66,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,粵語流行樂",Mei Entertainment Ltd,0.336,0.325,8,-6.891,1,0.0369,0.896,0,0.116,0.261,71.917,1,Chinese,Mandopop,ISTJ
spotify:track:7tgzj2IqzSgUpxUhjmcF5m,披星戴月的想你,我肯定在幾百年前就說過愛你,告五人,2019-06-14,349773,60,false,,2023-09-21T15:50:00Z,"台灣獨立音樂,華語獨立音樂,華語流行,台灣流行樂,華語流行樂,華語搖滾樂",Bin Music International Limited,0.692,0.453,9,-7.131,1,0.0299,0.263,0.000549,0.0836,0.351,99.976,4,Chinese,Mandopop,INTJ
spotify:track:07MNtfddtgCo6VrUm3O9dw,讓我留在你身邊,讓我留在你身邊,陳奕迅,2016-12-01,185383,59,false,,2023-09-21T15:50:00Z,"粵語流行樂,華語流行,華語流行樂,台灣流行樂",Cinepoly Records Co. Ltd.,0.303,0.653,1,-4.258,1,0.0434,0.0539,0,0.121,0.261,169.692,4,Chinese,Mandopop,ENTJ
spotify:track:6m2I6ZyWRkxjBrrLVQILfl,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),茄子蛋,2021-03-15,232400,63,false,,2023-09-21T15:50:00Z,"台灣獨立音樂,台灣流行樂,華語獨立音樂,華語流行,華語搖滾樂,華語流行樂",WM Taiwan,0.665,0.654,9,-6.949,0,0.0707,0.00272,0.00112,0.109,0.754,149.973,4,Chinese,Mandopop,ENFP
