Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Come & Go (with Marshmello)","Legends Never Die","Juice WRLD;Marshmello",2020-07-10,205484,78,true,791qjlx1xymqu60b4wrzoncpw,2021-08-09T06:07:34Z,"旋律饒舌,emo rap,電子舞曲","Grade A Productions/Interscope Records",0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,4
spotify:track:3h4T9Bg8OVSUYa6danHeH5,"Animals","V (Asia Tour Edition)","Maroon 5",2015-05-18,231013,75,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:06Z,"流行樂","Interscope Records*",0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4
spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"Mood (feat. iann dior)","El Dorado","24kGoldn;iann dior",2021-03-26,140525,80,true,791qjlx1xymqu60b4wrzoncpw,2021-07-25T05:21:58Z,"旋律饒舌","Records/Columbia",0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,4
spotify:track:5cF0dROlMOK5uNZtivgu50,"Attention","Voicenotes","Charlie Puth",2018-05-11,208786,88,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:10Z,"軟式流行樂","Artist Partner",0.775,0.613,3,-4.586,0,0.0542,0.109,0.0000233,0.134,0.797,100.066,4
spotify:track:3Z8FwOEN59mRMxDCtb8N0A,"Be Kind (with Halsey)","Be Kind (with Halsey)","Marshmello;Halsey",2020-05-01,172761,74,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:17Z,"電子舞曲","Astralwerks",0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.992,4
spotify:track:4QTuyRQshEZYurtIDfE6g0,"By Your Side","Blue","Jonas Blue;RAYE",2018-11-09,201254,69,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:20Z,"熱帶浩室","Positiva",0.695,0.743,6,-3.85,1,0.0329,0.0786,0,0.0587,0.634,123.007,4
spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,"Cheating on You","Cheating on You","Charlie Puth",2019-10-01,196606,76,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:22Z,"軟式流行樂","Artist Partner",0.749,0.535,4,-6.785,1,0.0336,0.0131,0.0000365,0.0982,0.601,123.042,4
spotify:track:7tN0ceaX3JAz6aVtyXn9mn,"Chills","Chills","Why Don't We",2019-12-30,165596,53,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:24Z,"","Atlantic Records",0.615,0.689,1,-5.332,1,0.0658,0.00483,0,0.177,0.783,162.919,4
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"Closer","Closer","The Chainsmokers;Halsey",2016-07-29,244960,89,false,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:26Z,"","Disruptor Records/Columbia",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
spotify:track:21TdkDRXuAB3k90ujRU1et,"Cold (feat. Future)","Red Pill Blues (Deluxe)","Maroon 5;Future",2017-11-03,234308,0,true,791qjlx1xymqu60b4wrzoncpw,2021-09-21T11:50:29Z,"流行樂,饒舌樂","Universal Music Group",0.697,0.716,9,-6.288,0,0.113,0.118,0,0.0424,0.506,99.905,4
