Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:02sy7FAs8dkDNYsHp4Ul3f,"Soda Pop","KPop Demon Hunters (Soundtrack from the Netflix Film)","Saja Boys;蔡康明;Neckwav;Danny Chung;KEVIN WOO;samUIL Lee;KPop Demon Hunters Cast",2025-06-20,150686,87,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-01-27T16:04:32Z,"韓國流行樂","K-Pop Demon Hunters",0.841,0.852,0,-3.591,1,0.0486,0.0816,0,0.0576,0.758,125.997,4
spotify:track:0gTKI22HOv80ws6pzHeGUY,"","","",0000,0,0,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-08-15T02:02:10Z,"","",0.705,0.897,5,-7.54,0,0.0706,0.00306,0.0000289,0.101,0.593,144.986,4
spotify:track:3cLXrotzCjYCkN73PewALM,"Good Goodbye","Good Goodbye","HWASA",2025-10-15,223000,79,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-11-12T19:35:45Z,"韓國流行樂","P NATION",0.655,0.59,1,-4.8,0,0.0419,0.295,0,0.165,0.796,99.564,4
spotify:track:1j15Ar0qGDzIR0v3CQv3JL,"Gnarly","Gnarly","KATSEYE",2025-04-30,137316,87,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-05-16T19:39:49Z,"韓國流行樂","HYBE/Geffen",0.775,0.828,0,-5.191,0,0.373,0.153,0,0.13,0.663,135.021,4
spotify:track:5vNRhkKd0yEAg8suGBpjeY,"APT.","APT.","ROSÉ;Bruno Mars",2024-10-18,169917,88,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-01-08T19:32:41Z,"韓國流行樂","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:491ca80N1C63tpoLvAsLKb,"PSYCHO","WE GO UP","BABYMONSTER",2025-10-10,195409,63,false,316b4f64ay46nb3vgvmu24fcsrxy,2025-12-03T13:00:39Z,"韓國流行樂","Sony Music Labels Inc.",0.824,0.774,5,-5.095,0,0.0466,0.0659,0,0.253,0.389,127.912,4
spotify:track:3t1TAfnoXfnMclelI70UaX,"Seven (feat. Latto)","Seven (Weekday Ver.)","Jung Kook;Latto",2023-07-17,184400,70,true,316b4f64ay46nb3vgvmu24fcsrxy,2023-10-17T02:56:51Z,"韓國流行樂","BIGHIT MUSIC",0.788,0.841,11,-3.955,1,0.0432,0.301,0,0.0772,0.904,124.986,4
spotify:track:6aJn7Cst74cj4lNIiPRgav,"Touch","Touch","KATSEYE",2024-07-26,129882,87,false,316b4f64ay46nb3vgvmu24fcsrxy,2024-10-10T20:29:32Z,"韓國流行樂","HYBE/Geffen",0.739,0.904,5,-2.655,0,0.0442,0.549,0.0000103,0.0948,0.788,167.033,4
spotify:track:0fK7ie6XwGxQTIkpFoWkd1,"like JENNIE","Ruby","JENNIE",2025-03-07,123517,88,true,316b4f64ay46nb3vgvmu24fcsrxy,2025-03-17T20:46:34Z,"韓國流行樂","OA Entertainment/Columbia",0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
spotify:track:4cSp2hlUlAwgurjIqHN592,"Ring Ring","Ring Ring","MIRA",2024-04-09,150588,59,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-01-19T11:17:14Z,"manele","MIRA / Red Entertainment Group",0.885,0.746,2,-3.476,0,0.0541,0.158,0,0.257,0.717,102.079,4
