spotify_id,name,artist,valence,energy,danceability,tempo,acousticness,lang
39tEWctWn3a4fmocz97cXg,"說好不哭","周杰倫;五月天 阿信",0.383,0.36,0.54,75.931,0.531,zh
1bkvGbgK4HU8B7Ue4k7O7I,"光年之外 (電影 《Passengers》 中國區主題曲)","鄧紫棋",0.238,0.668,0.539,175.867,0.4,zh
13AruKdh8wJhWx6i5dV8X1,"後來的我們","五月天",0.217,0.637,0.486,77.972,0.0116,zh
1MGgqiQkHHiI9DarZulc12,"不為誰而作的歌","林俊傑",0.255,0.621,0.354,144.095,0.549,zh
5cU1O9P0EDA0rPkPDykhIm,"怎麼了","周興哲",0.253,0.565,0.502,139.926,0.696,zh
2uHMTG5xr9Xk7MrXIWrVUH,"玫瑰少年","JOLIN蔡依林",0.287,0.716,0.648,98.014,0.0577,zh
3LlQoKvVnkVvq3KC8anUn8,"連名帶姓","張惠妹",0.261,0.325,0.336,71.917,0.896,zh
7tgzj2IqzSgUpxUhjmcF5m,"披星戴月的想你","告五人",0.351,0.453,0.692,99.976,0.263,zh
07MNtfddtgCo6VrUm3O9dw,"讓我留在你身邊","陳奕迅",0.261,0.653,0.303,169.692,0.0539,zh
6m2I6ZyWRkxjBrrLVQILfl,"愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲)","茄子蛋",0.754,0.654,0.665,149.973,0.00272,zh
2MBFevxaJ6bX6Lp7jt3UG1,"失落沙洲","徐佳瑩",0.224,0.366,0.422,80.197,0.728,zh
3NNDJfWMGHuNpvHWTImmlW,"慢冷","梁靜茹",0.269,0.471,0.521,92.054,0.786,zh
0KWnRv3wxjltYVB3MqjNd2,"Without You","高爾宣 OSN",0.29,0.698,0.662,80.005,0.573,zh
6XY80Ofqd8j0SGiEdRLwCp,"年少有為","李榮浩",0.289,0.462,0.518,131.892,0.322,zh
5DSF1VTSaaAFIesJLlltuM,"紅色高跟鞋","蔡健雅",0.492,0.659,0.476,176.018,0.104,zh
2DcmVSLAg0ZzfOQxDshZHY,"給我一個理由忘記","A-Lin",0.197,0.512,0.399,133.175,0.583,zh
3OC84eKMxRJ4x0Hcwl9i4i,"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","盧廣仲",0.267,0.201,0.425,136.328,0.873,zh
3xJK8ywApYVEYIDhymYMC6,"遇見","孫燕姿",0.442,0.233,0.631,91.864,0.841,zh
72OVnXDzugvrCU25lMi9au,"如果可以 - 電影月老主題曲","韋禮安",0.372,0.54,0.54,74.969,0.241,zh
4E5PyVOBH25CICgTURwGXM,"CHANGE","瘦子E.SO",0.588,0.519,0.737,97.857,0.705,zh
5CcqjfODDoSpI1xuTg9NCC,"兜圈","林宥嘉",0.305,0.366,0.587,117.959,0.819,zh
5R3KGS53DCrlbi6cxECAEH,"無人知曉","田馥甄",0.159,0.432,0.471,129.386,0.859,zh
0BuTVSIbiQGdxW7njjKng7,"讓我為你唱情歌","蕭敬騰",0.42,0.682,0.377,171.106,0.0905,zh
7uoMF8aYcagKbt5m5wi4MH,"年輪說","楊丞琳",0.312,0.368,0.463,147.619,0.768,zh
49AQAXswd32dFJUWOegVWO,"Last Dance","伍佰",0.492,0.62,0.463,151.311,0.0158,zh
4cDVX9pSt4UQEVbbXKodW6,"飞鸟和蝉","任然",0.319,0.563,0.565,147.905,0.741,zh
4nyO1azSuhT5JrETvzEahs,"你啊你啊 - 電視劇「用九柑仔店」插曲","魏如萱",0.178,0.186,0.584,123.663,0.904,zh
3O0TfMcoeKC0u035clU5nX,"小情歌（蘇打綠版）","蘇打綠",0.262,0.493,0.535,131.987,0.654,zh
5Sib99jpYybZAicUMETb3h,"演员","薛之謙",0.183,0.434,0.702,91.618,0.417,zh
0FIRHGE4loKAH5o5ByiqG0,"你是不是有點動心","吳卓源",0.323,0.349,0.591,131.927,0.634,zh
79LVKCDq5n3N2k6dtWP4gP,"慢慢喜歡你","莫文蔚",0.375,0.309,0.621,129.759,0.877,zh
2VEt42QSQxILgEf9B50xxm,"不是因為天氣晴朗才愛你","理想混蛋",0.399,0.271,0.507,135.783,0.753,zh
